,Date,total,new
0,2020-01-22,1,0
1,2020-01-23,3,2
2,2020-01-24,5,2
3,2020-01-25,5,0
4,2020-01-26,8,3
5,2020-01-27,8,0
6,2020-01-28,9,1
7,2020-01-29,10,1
8,2020-01-30,10,0
9,2020-01-31,12,2
10,2020-02-01,12,0
11,2020-02-02,12,0
12,2020-02-03,15,3
13,2020-02-04,16,1
14,2020-02-05,17,1
15,2020-02-06,18,1
16,2020-02-07,20,2
17,2020-02-08,20,0
18,2020-02-09,20,0
19,2020-02-10,21,1
20,2020-02-11,22,1
21,2020-02-12,22,0
22,2020-02-13,23,1
23,2020-02-14,23,0
24,2020-02-15,23,0
25,2020-02-16,23,0
26,2020-02-17,24,1
27,2020-02-18,24,0
28,2020-02-19,24,0
29,2020-02-20,25,1
30,2020-02-21,29,4
31,2020-02-22,30,1
32,2020-02-23,31,1
33,2020-02-24,32,1
34,2020-02-25,35,3
35,2020-02-26,36,1
36,2020-02-27,39,3
37,2020-02-28,45,6
38,2020-02-29,58,13
39,2020-03-01,70,12
40,2020-03-02,100,30
41,2020-03-03,125,25
42,2020-03-04,166,41
43,2020-03-05,255,89
44,2020-03-06,327,72
45,2020-03-07,501,174
46,2020-03-08,639,138
47,2020-03-09,738,99
48,2020-03-10,947,209
49,2020-03-11,1375,428
50,2020-03-12,1875,500
51,2020-03-13,2605,730
52,2020-03-14,3431,826
53,2020-03-15,3761,330
54,2020-03-16,5379,1618
55,2020-03-17,7366,1987
56,2020-03-18,10266,2900
57,2020-03-19,15012,4746
58,2020-03-20,21722,6710
59,2020-03-21,28220,6498
60,2020-03-22,37596,9376
61,2020-03-23,49394,11798
62,2020-03-24,60711,11317
63,2020-03-25,73411,12700
64,2020-03-26,92173,18762
65,2020-03-27,111633,19460
66,2020-03-28,134727,23094
67,2020-03-29,151790,17063
68,2020-03-30,175176,23386
69,2020-03-31,202790,27614
70,2020-04-01,239926,37136
71,2020-04-02,273925,33999
72,2020-04-03,307704,33779
73,2020-04-04,340750,33046
74,2020-04-05,370716,29966
75,2020-04-06,404210,33494
76,2020-04-07,435744,31534
77,2020-04-08,468224,32480
78,2020-04-09,505630,37406
79,2020-04-10,540955,35325
80,2020-04-11,571317,30362
81,2020-04-12,598517,27200
82,2020-04-13,627557,29040
83,2020-04-14,657758,30201
84,2020-04-15,685868,28110
85,2020-04-16,717316,31448
86,2020-04-17,752599,35283
87,2020-04-18,781474,28875
88,2020-04-19,808205,26731
89,2020-04-20,840560,32355
90,2020-04-21,868097,27537
91,2020-04-22,899910,31813
92,2020-04-23,933797,33887
93,2020-04-24,966928,33131
94,2020-04-25,999136,32208
95,2020-04-26,1026244,27108
96,2020-04-27,1052593,26349
97,2020-04-28,1078720,26127
98,2020-04-29,1107218,28498
99,2020-04-30,1138364,31146
100,2020-05-01,1174997,36633
101,2020-05-02,1203000,28003
102,2020-05-03,1227829,24829
103,2020-05-04,1253256,25427
104,2020-05-05,1278732,25476
105,2020-05-06,1304621,25889
106,2020-05-07,1334102,29481
107,2020-05-08,1362509,28407
108,2020-05-09,1387902,25393
109,2020-05-10,1407643,19741
110,2020-05-11,1427889,20246
111,2020-05-12,1452384,24495
112,2020-05-13,1473612,21228
113,2020-05-14,1500599,26987
114,2020-05-15,1526269,25670
115,2020-05-16,1551292,25023
116,2020-05-17,1571143,19851
117,2020-05-18,1594613,23470
118,2020-05-19,1616373,21760
119,2020-05-20,1640468,24095
120,2020-05-21,1666695,26227
121,2020-05-22,1691707,25012
122,2020-05-23,1712542,20835
123,2020-05-24,1733616,21074
124,2020-05-25,1753766,20150
125,2020-05-26,1773229,19463
126,2020-05-27,1792919,19690
127,2020-05-28,1814835,21916
128,2020-05-29,1840641,25806
129,2020-05-30,1864120,23479
