date,daily_weighted_avg,Category
20220301,-0.27746,APPLE Inc
20220302,-0.43884488235294117,APPLE Inc
20220303,-0.20438614285714282,APPLE Inc
20220304,0.04104985714285714,APPLE Inc
20220305,-0.03886345454545454,APPLE Inc
20220306,0.07514166666666666,APPLE Inc
20220307,-0.00010375000000000464,APPLE Inc
20220308,-0.0031610127388535035,APPLE Inc
20220309,-0.03388635652173913,APPLE Inc
20220310,-0.10359241726618705,APPLE Inc
20220311,0.017243416666666664,APPLE Inc
20220312,-0.026701571428571436,APPLE Inc
20220313,0.010155,APPLE Inc
20220314,-0.13476838759689921,APPLE Inc
20220315,-0.09301407272727275,APPLE Inc
20220316,-0.013014909090909096,APPLE Inc
20220317,-0.061019056603773575,APPLE Inc
20220318,0.032199512820512824,APPLE Inc
20220319,-0.018239542857142854,APPLE Inc
20220320,-0.025317250000000006,APPLE Inc
20220321,-0.0572845576923077,APPLE Inc
20220322,0.004692769230769229,APPLE Inc
20220323,0.001950594059405943,APPLE Inc
20220324,-0.006490720000000002,APPLE Inc
20220325,-0.07912155000000001,APPLE Inc
20220401,0.0015870190476190585,APPLE Inc
20220402,-0.026068888888888895,APPLE Inc
20220403,0.04290166666666668,APPLE Inc
20220404,0.013418725000000003,APPLE Inc
20220405,-0.005372724137931034,APPLE Inc
20220406,-0.025771562500000008,APPLE Inc
20220407,-0.051590027777777776,APPLE Inc
20220408,-0.0452373125,APPLE Inc
20220409,-0.008917888888888895,APPLE Inc
20220410,-0.062888,APPLE Inc
20220411,-0.06503706060606061,APPLE Inc
20220412,-0.11991925203252032,APPLE Inc
20220413,0.009087027027027027,APPLE Inc
20220414,-0.06102522727272728,APPLE Inc
20220415,-0.15539918367346942,APPLE Inc
20220416,-0.4810915652173912,APPLE Inc
20220417,0.026981666666666664,APPLE Inc
20220418,-0.07591048717948719,APPLE Inc
20220419,-0.043033605263157894,APPLE Inc
20220420,-0.06171883333333333,APPLE Inc
20220421,-0.02626767741935484,APPLE Inc
20220422,-0.04373257142857142,APPLE Inc
20220423,-0.006043055555555558,APPLE Inc
20220424,-0.04937868,APPLE Inc
20220425,-0.1347456,APPLE Inc
20220501,-0.081367,APPLE Inc
20220502,-0.14161419298245614,APPLE Inc
20220503,-0.07654711904761904,APPLE Inc
20220504,-0.006415208955223879,APPLE Inc
20220505,-0.1177000888888889,APPLE Inc
20220506,-0.0834973698630137,APPLE Inc
20220507,-0.039543400000000006,APPLE Inc
20220508,0.027954000000000014,APPLE Inc
20220509,-0.12116408849557522,APPLE Inc
20220510,-0.10732131818181818,APPLE Inc
20220511,-0.05327224752475248,APPLE Inc
20220512,-0.1317251699346405,APPLE Inc
20220513,-0.038285651162790695,APPLE Inc
20220514,-0.14399914285714283,APPLE Inc
20220515,-0.05873916216216216,APPLE Inc
20220516,-0.07009438888888889,APPLE Inc
20220517,-0.044358369565217395,APPLE Inc
20220518,-0.1000985,APPLE Inc
20220519,-0.1383891224489796,APPLE Inc
20220520,-0.11253723157894738,APPLE Inc
20220521,-0.050419,APPLE Inc
20220522,-0.045622923076923075,APPLE Inc
20220523,-0.0425343962264151,APPLE Inc
20220601,-0.029041115384615387,APPLE Inc
20220602,-0.060251068965517254,APPLE Inc
20220603,-0.0980784411764706,APPLE Inc
20220604,-0.13590349999999998,APPLE Inc
20220605,-0.025610750000000005,APPLE Inc
20220606,-0.04115315873015873,APPLE Inc
20220607,-0.04926229670329671,APPLE Inc
20220608,-0.04633003225806452,APPLE Inc
20220609,-0.07085064935064936,APPLE Inc
20220610,-0.08075648461538462,APPLE Inc
20220611,-0.0344405238095238,APPLE Inc
20220612,-0.013185999999999998,APPLE Inc
20220613,-0.12456815624999999,APPLE Inc
20220614,-0.05549024786324786,APPLE Inc
20220615,-0.04827171428571429,APPLE Inc
20220616,-0.13119281481481482,APPLE Inc
20220617,0.00857458139534884,APPLE Inc
20220618,0.10224899999999999,APPLE Inc
20220619,0.07949054545454545,APPLE Inc
20220620,0.0297257,APPLE Inc
20220621,-0.06733524137931035,APPLE Inc
20220622,0.07191765573770492,APPLE Inc
20220623,-0.09791194029850747,APPLE Inc
20220624,-0.04904754666666668,APPLE Inc
20220625,-0.07076452,APPLE Inc
20220626,-0.0035254285714285643,APPLE Inc
20220627,-0.020874615384615387,APPLE Inc
20220701,-0.0927760909090909,APPLE Inc
20220702,-0.06675529411764705,APPLE Inc
20220703,-0.10726711111111113,APPLE Inc
20220704,0.09033442857142858,APPLE Inc
20220705,-0.08357878787878789,APPLE Inc
20220706,-0.05933570769230768,APPLE Inc
20220707,-0.06994317241379312,APPLE Inc
20220708,-0.04165366666666667,APPLE Inc
20220709,0.07124982352941177,APPLE Inc
20220710,0.17451500000000003,APPLE Inc
20220711,0.12179944827586209,APPLE Inc
20220712,0.11908304109589041,APPLE Inc
20220713,0.17891085185185182,APPLE Inc
20220714,0.11393343333333335,APPLE Inc
20220715,0.1284522142857143,APPLE Inc
20220716,0.097097,APPLE Inc
20220717,0.12974014285714286,APPLE Inc
20220718,0.16122206382978724,APPLE Inc
20220719,0.06782414598540146,APPLE Inc
20220720,0.115672,APPLE Inc
20220721,0.08157230909090908,APPLE Inc
20220722,0.06622680701754385,APPLE Inc
20220723,0.04562442857142857,APPLE Inc
20220724,0.08209111111111111,APPLE Inc
20220725,0.08709203076923075,APPLE Inc
20220726,0.06942930337078651,APPLE Inc
20220727,0.09175525,APPLE Inc
20220801,0.12530433333333338,APPLE Inc
20220802,0.06919004166666666,APPLE Inc
20220803,0.15468109859154933,APPLE Inc
20220804,0.15269816129032257,APPLE Inc
20220805,0.13972672340425535,APPLE Inc
20220806,0.1319461886792453,APPLE Inc
20220807,0.14584445454545455,APPLE Inc
20220808,0.0969777441860465,APPLE Inc
